2026-03-08 18:22:52 [INFO] 正在處理 Taipei-city-中正區, 第 1/21 頁, 抓到 20 筆
2026-03-08 20:14:25 [INFO] 正在處理 Taipei-city-內湖區, 第 2/37 頁, 抓到 20 筆
2026-03-08 20:15:03 [INFO] 正在處理 Taipei-city-內湖區, 第 3/37 頁, 抓到 20 筆
2026-03-08 20:15:23 [INFO] 正在處理 Taipei-city-內湖區, 第 4/37 頁, 抓到 20 筆
2026-03-08 20:16:10 [INFO] 正在處理 Taipei-city-內湖區, 第 5/37 頁, 抓到 20 筆
2026-03-08 20:17:10 [INFO] 正在處理 Taipei-city-內湖區, 第 6/37 頁, 抓到 20 筆
2026-03-08 20:18:12 [INFO] 正在處理 Taipei-city-內湖區, 第 7/37 頁, 抓到 20 筆
2026-03-08 20:18:43 [INFO] 正在處理 Taipei-city-內湖區, 第 8/37 頁, 抓到 20 筆
2026-03-08 20:19:10 [INFO] 正在處理 Taipei-city-內湖區, 第 9/37 頁, 抓到 20 筆
2026-03-08 20:19:59 [INFO] 正在處理 Taipei-city-內湖區, 第 10/37 頁, 抓到 20 筆
2026-03-08 20:20:32 [INFO] 正在處理 Taipei-city-內湖區, 第 11/37 頁, 抓到 20 筆
2026-03-08 20:21:12 [INFO] 正在處理 Taipei-city-內湖區, 第 12/37 頁, 抓到 20 筆
2026-03-08 20:21:39 [INFO] 正在處理 Taipei-city-內湖區, 第 13/37 頁, 抓到 20 筆
2026-03-08 20:22:18 [INFO] 正在處理 Taipei-city-內湖區, 第 14/37 頁, 抓到 20 筆
2026-03-08 20:23:34 [INFO] 正在處理 Taipei-city-內湖區, 第 15/37 頁, 抓到 20 筆
2026-03-08 20:24:02 [INFO] 正在處理 Taipei-city-內湖區, 第 16/37 頁, 抓到 20 筆
2026-03-08 20:24:37 [INFO] 正在處理 Taipei-city-內湖區, 第 17/37 頁, 抓到 20 筆
2026-03-08 20:25:17 [INFO] 正在處理 Taipei-city-內湖區, 第 18/37 頁, 抓到 20 筆
2026-03-08 20:26:16 [INFO] 正在處理 Taipei-city-內湖區, 第 19/37 頁, 抓到 20 筆
2026-03-08 20:26:57 [INFO] 正在處理 Taipei-city-內湖區, 第 20/37 頁, 抓到 20 筆
2026-03-08 20:27:49 [INFO] 正在處理 Taipei-city-內湖區, 第 21/37 頁, 抓到 20 筆
2026-03-08 20:28:34 [INFO] 正在處理 Taipei-city-內湖區, 第 22/37 頁, 抓到 20 筆
2026-03-08 20:29:19 [INFO] 正在處理 Taipei-city-內湖區, 第 23/37 頁, 抓到 20 筆
2026-03-08 20:30:16 [INFO] 正在處理 Taipei-city-內湖區, 第 24/37 頁, 抓到 20 筆
2026-03-08 20:30:52 [INFO] 正在處理 Taipei-city-內湖區, 第 25/37 頁, 抓到 20 筆
2026-03-08 20:31:48 [INFO] 正在處理 Taipei-city-內湖區, 第 26/37 頁, 抓到 20 筆
2026-03-08 20:32:51 [INFO] 正在處理 Taipei-city-內湖區, 第 27/37 頁, 抓到 20 筆
2026-03-08 20:33:45 [INFO] 正在處理 Taipei-city-內湖區, 第 28/37 頁, 抓到 20 筆
2026-03-08 20:34:23 [INFO] 正在處理 Taipei-city-內湖區, 第 29/37 頁, 抓到 20 筆
2026-03-08 20:34:59 [INFO] 正在處理 Taipei-city-內湖區, 第 30/37 頁, 抓到 20 筆
2026-03-08 20:35:44 [INFO] 正在處理 Taipei-city-內湖區, 第 31/37 頁, 抓到 20 筆
2026-03-08 20:36:14 [INFO] 正在處理 Taipei-city-內湖區, 第 32/37 頁, 抓到 20 筆
2026-03-08 20:36:44 [INFO] 正在處理 Taipei-city-內湖區, 第 33/37 頁, 抓到 20 筆
2026-03-08 20:37:13 [INFO] 正在處理 Taipei-city-內湖區, 第 34/37 頁, 抓到 20 筆
2026-03-08 20:37:47 [INFO] 正在處理 Taipei-city-內湖區, 第 35/37 頁, 抓到 20 筆
2026-03-08 20:38:31 [INFO] 正在處理 Taipei-city-內湖區, 第 36/37 頁, 抓到 20 筆
2026-03-08 20:39:04 [INFO] 正在處理 Taipei-city-內湖區, 第 37/37 頁, 抓到 10 筆
2026-03-08 20:39:17 [INFO] 正在處理 Taipei-city-南港區, 第 1/14 頁, 抓到 20 筆
2026-03-08 20:40:01 [INFO] 正在處理 Taipei-city-南港區, 第 2/14 頁, 抓到 20 筆
2026-03-08 20:40:58 [INFO] 正在處理 Taipei-city-南港區, 第 3/14 頁, 抓到 20 筆
2026-03-08 20:42:03 [INFO] 正在處理 Taipei-city-南港區, 第 4/14 頁, 抓到 20 筆
2026-03-08 20:42:50 [INFO] 正在處理 Taipei-city-南港區, 第 5/14 頁, 抓到 20 筆
2026-03-08 20:43:22 [INFO] 正在處理 Taipei-city-南港區, 第 6/14 頁, 抓到 20 筆
2026-03-08 20:43:59 [INFO] 正在處理 Taipei-city-南港區, 第 7/14 頁, 抓到 20 筆
2026-03-08 20:44:48 [INFO] 正在處理 Taipei-city-南港區, 第 8/14 頁, 抓到 20 筆
2026-03-08 20:45:31 [INFO] 正在處理 Taipei-city-南港區, 第 9/14 頁, 抓到 20 筆
2026-03-08 20:46:18 [INFO] 正在處理 Taipei-city-南港區, 第 10/14 頁, 抓到 20 筆
2026-03-08 20:46:49 [INFO] 正在處理 Taipei-city-南港區, 第 11/14 頁, 抓到 20 筆
2026-03-08 20:47:20 [INFO] 正在處理 Taipei-city-南港區, 第 12/14 頁, 抓到 20 筆
2026-03-08 20:47:51 [INFO] 正在處理 Taipei-city-南港區, 第 13/14 頁, 抓到 20 筆
2026-03-08 20:48:13 [INFO] 正在處理 Taipei-city-南港區, 第 14/14 頁, 抓到 12 筆
2026-03-08 20:48:32 [INFO] 正在處理 Taipei-city-文山區, 第 1/26 頁, 抓到 20 筆
2026-03-08 20:48:47 [INFO] 正在處理 Taipei-city-文山區, 第 2/26 頁, 抓到 20 筆
2026-03-08 20:49:20 [INFO] 正在處理 Taipei-city-文山區, 第 3/26 頁, 抓到 20 筆
2026-03-08 20:50:02 [INFO] 正在處理 Taipei-city-文山區, 第 4/26 頁, 抓到 20 筆
2026-03-08 20:50:43 [INFO] 正在處理 Taipei-city-文山區, 第 5/26 頁, 抓到 20 筆
2026-03-08 20:51:50 [INFO] 正在處理 Taipei-city-文山區, 第 6/26 頁, 抓到 20 筆
2026-03-08 20:52:20 [INFO] 正在處理 Taipei-city-文山區, 第 7/26 頁, 抓到 20 筆
2026-03-08 20:52:56 [INFO] 正在處理 Taipei-city-文山區, 第 8/26 頁, 抓到 20 筆
2026-03-08 20:53:19 [INFO] 正在處理 Taipei-city-文山區, 第 9/26 頁, 抓到 20 筆
2026-03-08 20:53:38 [INFO] 正在處理 Taipei-city-文山區, 第 10/26 頁, 抓到 20 筆
2026-03-08 20:53:54 [INFO] 正在處理 Taipei-city-文山區, 第 11/26 頁, 抓到 20 筆
2026-03-08 20:54:24 [INFO] 正在處理 Taipei-city-文山區, 第 12/26 頁, 抓到 20 筆
2026-03-08 20:54:53 [INFO] 正在處理 Taipei-city-文山區, 第 13/26 頁, 抓到 20 筆
2026-03-08 20:55:12 [INFO] 正在處理 Taipei-city-文山區, 第 14/26 頁, 抓到 20 筆
2026-03-08 20:55:35 [INFO] 正在處理 Taipei-city-文山區, 第 15/26 頁, 抓到 20 筆
2026-03-08 20:56:22 [INFO] 正在處理 Taipei-city-文山區, 第 16/26 頁, 抓到 20 筆
2026-03-08 20:57:00 [INFO] 正在處理 Taipei-city-文山區, 第 17/26 頁, 抓到 20 筆
2026-03-08 20:57:46 [INFO] 正在處理 Taipei-city-文山區, 第 18/26 頁, 抓到 20 筆
2026-03-08 20:58:03 [INFO] 正在處理 Taipei-city-文山區, 第 19/26 頁, 抓到 20 筆
2026-03-08 20:58:44 [INFO] 正在處理 Taipei-city-文山區, 第 20/26 頁, 抓到 20 筆
2026-03-08 20:59:21 [INFO] 正在處理 Taipei-city-文山區, 第 21/26 頁, 抓到 20 筆
2026-03-08 21:00:03 [INFO] 正在處理 Taipei-city-文山區, 第 22/26 頁, 抓到 20 筆
2026-03-08 21:00:20 [INFO] 正在處理 Taipei-city-文山區, 第 23/26 頁, 抓到 20 筆
2026-03-08 21:00:36 [INFO] 正在處理 Taipei-city-文山區, 第 24/26 頁, 抓到 20 筆
2026-03-08 21:00:53 [INFO] 正在處理 Taipei-city-文山區, 第 25/26 頁, 抓到 20 筆
2026-03-08 21:01:01 [INFO] 正在處理 Taipei-city-文山區, 第 26/26 頁, 抓到 15 筆
